title,total_time,prep_time,cook_time,difficulty,comments,rating,category,yield,link,image
"Baguette aux champignons, épinards et Boursin® Échalote & Ciboulette",30,15,15,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/baguette-aux-champignons-epinards-et-boursin-echalote-ciboulette-110691.aspx,https://img.cuisineaz.com/660x660/2020-07-16/i154575-baguette-epinard-boursin-7176-valide.jpeg
Pull-apart bread aux courgettes et au Boursin® Onctueux Ail & Fines herbes,45,30,15,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/pull-apart-bread-aux-courgettes-et-au-boursin-onctueux-ail-fines-herbes-110685.aspx,https://img.cuisineaz.com/660x660/2020-08-04/i154762-pullapart-bread-boursin-ail.jpeg
Cônes feuilletés au jambon et Boursin® Échalote & Ciboulette,30,10,20,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/cones-feuilletes-au-jambon-et-boursin-echalote-ciboulette-110475.aspx,https://img.cuisineaz.com/660x660/2020-05-18/i154048-cones-feuilletes-jambon-boursin-5388.jpeg
Hérisson apéritif,30,30,0,easy,1,4.5,aperitif,10 Pers.,https://www.cuisineaz.com/recettes/herisson-aperitif-96981.aspx,https://img.cuisineaz.com/660x660/2017-04-05/i124752-.jpeg
Mousse d'avocats aux crevettes,15,15,0,easy,6,4.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-d-avocats-aux-crevettes-14215.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i18276-mousse-d-avocats-aux-crevettes.jpg
Mousse de thon légère,5,5,0,easy,0,4.5,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mousse-de-thon-legere-62561.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i95716-recette-mousse-de-thon-legere.jpg
Feuilletés apéritifs au chorizo et au gruyère,20,10,10,easy,1,4.5,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/feuilletes-aperitifs-au-chorizo-et-au-gruyere-56011.aspx,https://img.cuisineaz.com/660x660/2016-03-17/i97151-feuilletes-au-chorizo.jpg
Tortilla Espagnole simplissime,55,30,25,easy,6,4.5,aperitif,2 Pers.,https://www.cuisineaz.com/recettes/tortilla-espagnole-simplissime-59771.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i99265-tortilla-espagole.jpg
Gougères au Thermomix,30,5,25,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/gougeres-au-thermomix-98531.aspx,https://img.cuisineaz.com/660x660/2017-08-07/i131365-gougeres-au-thermomix.jpeg
Mousse de pois chiches (hoummous),15,15,0,easy,15,4.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-pois-chiches-hoummous-59042.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i107840-mousse-de-pois-chiches-hoummous.jpg
Pop-corn au Thermomix,12,12,0,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/pop-corn-au-thermomix-106265.aspx,https://img.cuisineaz.com/660x660/2019-04-01/i146260-pop-corn-au-thermomix.jpeg
Feuilletés apéritifs au fromage,17,2,15,easy,0,5.0,aperitif,3 Pers.,https://www.cuisineaz.com/recettes/feuilletes-aperitifs-au-fromage-53806.aspx,https://img.cuisineaz.com/660x660/2016-03-17/i104256-feuilletes-fromage-pour-l-apero.jpg
Mousse de concombre,10,10,0,easy,0,4.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-concombre-88083.aspx,https://img.cuisineaz.com/660x660/2016-06-30/i23769-mousse-de-concombre.png
Mousse d'avocats,15,15,0,easy,19,4.5,aperitif,5 Pers.,https://www.cuisineaz.com/recettes/mousse-d-avocats-11897.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i20770-mousse-d-avocats.jpg
Mousse de carottes épicée,30,10,20,easy,1,4.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-carottes-epicee-67097.aspx,https://img.cuisineaz.com/660x660/2014-02-11/i75098-mousse-de-carottes-aux-epices.jpg
Salsa mexicaine,55,15,40,easy,0,5.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/salsa-mexicaine-59870.aspx,https://img.cuisineaz.com/660x660/2016-04-28/i86083-sauce-creole.jpg
Mousse d’asperge aux crevettes en verrine,25,5,20,easy,1,4.5,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/mousse-d-asperge-aux-crevettes-en-verrine-66027.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i28411-mousse-d-asperge-aux-crevettes-en-verrine.jpg
Hoops au chorizo et comté pour l'apéritif,40,10,30,easy,0,4.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/hoops-au-chorizo-et-comte-pour-l-aperitif-98506.aspx,https://img.cuisineaz.com/660x660/2017-08-04/i131318-.jpeg
Mousse de saumon au siphon,5,5,0,easy,0,4.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/mousse-de-saumon-au-siphon-81419.aspx,https://img.cuisineaz.com/660x660/2016-10-03/i78081-mousse-de-saumon-au-siphon.jpg
Petits roulés apéritifs à la saucisse,25,15,10,easy,4,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/petits-roules-aperitifs-a-la-saucisse-50227.aspx,https://img.cuisineaz.com/660x660/2015-12-15/i90733-petits-roules-aperitifs-a-la-saucisse.jpg
Verrine aux asperges et St Môret,30,15,15,easy,0,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/verrine-aux-asperges-et-st-moret-105055.aspx,https://img.cuisineaz.com/660x660/2018-12-11/i144989-verrine-asperge-st-moret.jpeg
Popcorn au caramel,20,10,10,easy,0,4.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/popcorn-au-caramel-90697.aspx,https://img.cuisineaz.com/660x660/2016-10-31/i74457-popcorn-au-caramel.jpg
Hummus et pain pita maison,45,30,15,easy,2,3.5,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/hummus-et-pain-pita-maison-60790.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i76796-hummus-et-pain-pita-maison.jpg
Sauce apéritive au chèvre,10,10,0,easy,0,5.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/sauce-aperitive-au-chevre-44431.aspx,https://img.cuisineaz.com/660x660/2016-04-28/i70667-sauce-pour-aperitif.jpg
Pâté en croûte alsacien,105,45,60,medium,0,5.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/pate-en-croute-alsacien-103409.aspx,https://img.cuisineaz.com/660x660/2018-09-07/i142431-pate-en-croute-alsacien.jpeg
Gougères sans gluten,40,15,25,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/gougeres-sans-gluten-99520.aspx,https://img.cuisineaz.com/660x660/2017-10-29/i133633-gougeres-sans-gluten.jpeg
Mousse de foie de veau,30,25,5,easy,0,3.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-foie-de-veau-84963.aspx,https://img.cuisineaz.com/660x660/2016-01-10/i113392-mousse-de-foie-de-veau.jpg
Mousse de mayonnaise à la ciboulette,15,15,0,missing,0,5.0,aperitif,-,https://www.cuisineaz.com/recettes/mousse-de-mayonnaise-a-la-ciboulette-73218.aspx,https://img.cuisineaz.com/660x660/2018-03-19/i137535-mousse-de-mayonnaise-a-la-ciboulette.jpeg
Espuma d’asperges vertes,25,15,10,easy,0,4.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/espuma-d-asperges-vertes-65653.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i8695-photo-de-espuma-d-asperges-vertes.jpg
Verrine d'asperges et jambon cru,45,30,15,easy,0,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/verrine-d-asperges-et-jambon-cru-105027.aspx,https://img.cuisineaz.com/660x660/2018-12-11/i145007-verrine-asperge-jambon-cru.jpeg
Mousse de courgettes au pesto verrines salées,0,,0,easy,1,4.5,aperitif,2 Pers.,https://www.cuisineaz.com/recettes/mousse-de-courgettes-au-pesto-verrines-salees-81409.aspx,https://img.cuisineaz.com/660x660/2016-11-01/i96066-mousse-de-courgettes-au-pesto-verrines-salees.jpg
Mousse de foies de volaille,20,10,10,easy,5,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-foies-de-volaille-10439.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i90996-mousse-de-foies-de-volaille.jpg
Mousse de brocolis facile,55,15,40,easy,17,4.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-brocolis-facile-4859.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i106179-photo-de-mousse-de-brocolis.jpg
Rillettes de chorizo au Thermomix,10,10,0,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/rillettes-de-chorizo-au-thermomix-105479.aspx,https://img.cuisineaz.com/660x660/2018-12-11/i144981-rillettes-au-chorizo-thermomix.jpeg
Mousse de canard au Cognac,45,15,30,easy,4,5.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/mousse-de-canard-au-cognac-65164.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i77966-mousse-de-canard-au-cognac.jpg
Mousse de betterave rouge et radis rose,15,15,0,easy,0,4.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mousse-de-betterave-rouge-et-radis-rose-62323.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i986-photo-de-mousse-de-betterave-rouge-radis-rose.jpg
Mousse de brochet,30,,30,easy,2,4.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mousse-de-brochet-3598.aspx,https://img.cuisineaz.com/660x660/2018-07-23/i141072-mousse-de-brochet.jpeg
Apéritif aux feuilles de noyer,0,0,0,missing,0,1.0,aperitif,Pers.,https://www.cuisineaz.com/recettes/aperitif-aux-feuilles-de-noyer-2520.aspx,https://img.cuisineaz.com/660x660/2017-02-02/i119465-aperitif-aux-feuilles-de-noyer.jpeg
Tapenade verte au Thermomix,5,5,0,easy,0,5.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/tapenade-verte-au-thermomix-106125.aspx,https://img.cuisineaz.com/660x660/2019-03-21/i146138-tapenade-verte-au-thermomix.jpeg
